species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_mm_outlier,bill_depth_mm_outlier,flipper_length_mm_outlier,body_mass_g_outlier,is_any_outlier,body_mass_kg,bill_area_mm2,bill_ratio,flipper_mass_ratio,cluster,PC1,PC2
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,False,False,False,False,False,3.75,731.17,2.0909090909090917,48.266666666666666,0,-1.8471173001245944,0.04707494043238561
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,False,False,False,False,False,3.8,687.3,2.270114942528736,48.94736842105264,0,-1.3088939062036555,-0.4302608294239356
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,False,False,False,False,False,3.25,725.4,2.238888888888889,60.0,0,-1.3715864050611535,-0.1556113590346704
Adelie,Torgersen,44.45,17.3,197.0,4050.0,Unknown,False,False,False,False,False,4.05,768.9850000000001,2.569364161849711,48.641975308641975,2,-0.24989227365136313,0.1011747803006709
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,False,False,False,False,False,3.45,708.3100000000001,1.9015544041450776,55.94202898550724,0,-1.8826691071259767,-0.0030271458912592545
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,False,False,False,False,False,3.65,809.58,1.907766990291262,52.05479452054794,0,-1.9157404508719835,0.830640482866543
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,False,False,False,False,False,3.625,692.42,2.185393258426966,49.93103448275862,0,-1.7664364987300867,-0.3531798176408789
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,False,False,False,False,False,4.675,768.3200000000002,2.0,41.711229946524064,0,-0.8109039761016991,0.5229698272229367
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Unknown,False,False,False,False,False,3.475,617.21,1.8839779005524864,55.53956834532374,0,-1.8388472373518805,-0.7728508663248459
Adelie,Torgersen,42.0,20.2,190.0,4250.0,Unknown,False,False,False,False,False,4.25,848.4,2.0792079207920797,44.70588235294117,2,-1.1961650042038035,1.0283773792791437
Adelie,Torgersen,37.8,17.1,186.0,3300.0,Unknown,False,False,False,False,False,3.3,646.38,2.210526315789473,56.36363636363637,0,-1.7335193373516844,-0.7915212942238458
Adelie,Torgersen,37.8,17.3,180.0,3700.0,Unknown,False,False,False,False,False,3.7,653.9399999999999,2.184971098265896,48.648648648648646,0,-1.746355184802102,-0.6691108375197492
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,False,False,False,False,False,3.2,723.3600000000001,2.3352272727272725,56.875,0,-1.7922265792604253,-0.2372808661002171
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,False,False,False,False,False,3.8,818.32,1.820754716981132,50.26315789473684,0,-1.9523886563324284,1.0131054083085558
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,False,False,False,False,False,4.4,730.0600000000001,1.6398104265402844,44.99999999999999,0,-1.5669765789058003,0.5974541026146998
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,False,False,False,False,False,3.7,651.48,2.056179775280899,50.0,0,-1.742981059447377,-0.5973560418576996
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,False,False,False,False,False,3.45,735.3000000000001,2.0368421052631582,56.52173913043478,0,-1.5718447965079174,0.09534522476873583
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,False,False,False,False,False,4.5,879.75,2.0531400966183577,43.77777777777778,2,-0.7964919033535907,1.3136234197172734
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,False,False,False,False,False,3.325,632.9599999999999,1.8695652173913044,55.338345864661655,0,-2.3480345608158406,-0.6354323617893903
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,False,False,False,False,False,4.2,989.0,2.13953488372093,46.19047619047619,2,-0.9957559339921214,1.9905816165668084
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,False,False,False,False,False,3.4,691.74,2.065573770491803,51.1764705882353,0,-2.4028140049313547,-0.29606263859969484
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,False,False,False,False,False,3.6,704.99,2.016042780748663,50.0,0,-2.1084884615284794,-0.12274192944241423
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,False,False,False,False,False,3.8,689.28,1.8697916666666667,49.73684210526316,0,-1.8534703196975841,-0.09517838581851931
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,False,False,False,False,False,3.95,691.4200000000001,2.110497237569061,46.83544303797469,0,-1.498413439269221,-0.2734701163275664
