species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_mm_outlier,bill_depth_mm_outlier,flipper_length_mm_outlier,body_mass_g_outlier,is_any_outlier,body_mass_kg,bill_area_mm2,bill_ratio,flipper_mass_ratio,cluster,PC1,PC2
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,False,False,False,False,False,3.75,731.17,2.0909090909090917,48.266666666666666,0,-1.8281453585423466,-0.041995197230923535
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,False,False,False,False,False,3.8,687.3,2.270114942528736,48.94736842105264,0,-1.2135473168159774,-0.4784702558615045
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,False,False,False,False,False,3.25,725.4,2.238888888888889,60.0,0,-0.865560456176136,-0.12884501587317093
Adelie,Torgersen,44.45,17.3,197.0,4050.0,Unknown,False,False,False,False,False,4.05,768.9850000000001,2.569364161849711,48.641975308641975,2,-0.1684520452253233,0.1101074990963381
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,False,False,False,False,False,3.45,708.3100000000001,1.9015544041450776,55.94202898550724,0,-1.6633393348215775,-0.07157768033833649
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,False,False,False,False,False,3.65,809.58,1.907766990291262,52.05479452054794,0,-1.8798454972008642,0.7327974683122359
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,False,False,False,False,False,3.625,692.42,2.185393258426966,49.93103448275862,0,-1.613802103758544,-0.41075209489281445
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,False,False,False,False,False,4.675,768.3200000000002,2.0,41.711229946524064,0,-1.3941212553417142,0.3507219660964965
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Unknown,False,False,False,False,False,3.475,617.21,1.8839779005524864,55.53956834532374,0,-1.6140085272127787,-0.8453922887741108
Adelie,Torgersen,42.0,20.2,190.0,4250.0,Unknown,False,False,False,False,False,4.25,848.4,2.0792079207920797,44.70588235294117,0,-1.5019555908310576,0.9061284898269497
Adelie,Torgersen,37.8,17.1,186.0,3300.0,Unknown,False,False,False,False,False,3.3,646.38,2.210526315789473,56.36363636363637,0,-1.307621704360101,-0.7988863431694113
Adelie,Torgersen,37.8,17.3,180.0,3700.0,Unknown,False,False,False,False,False,3.7,653.9399999999999,2.184971098265896,48.648648648648646,0,-1.641972413901075,-0.7377652627398155
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,False,False,False,False,False,3.2,723.3600000000001,2.3352272727272725,56.875,0,-1.2916822662716323,-0.21873233234386688
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,False,False,False,False,False,3.8,818.32,1.820754716981132,50.26315789473684,0,-2.0601552594861294,0.8804467002102394
