species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_mm_outlier,bill_depth_mm_outlier,flipper_length_mm_outlier,body_mass_g_outlier,is_any_outlier,body_mass_kg,bill_area_mm2,bill_ratio,flipper_mass_ratio
Adelie,Torgersen,39.1,18.7,181.0,3750.0,Male,False,False,False,False,False,3.75,731.17,2.0909090909090913,48.266666666666666
Adelie,Torgersen,39.5,17.4,186.0,3800.0,Female,False,False,False,False,False,3.8,687.3,2.270114942528736,48.94736842105264
Adelie,Torgersen,40.3,18.0,195.0,3250.0,Female,False,False,False,False,False,3.25,725.4,2.238888888888889,60.0
Adelie,Torgersen,44.45,17.3,197.0,4050.0,Unknown,False,False,False,False,False,4.05,768.9850000000001,2.569364161849711,48.641975308641975
Adelie,Torgersen,36.7,19.3,193.0,3450.0,Female,False,False,False,False,False,3.45,708.3100000000001,1.9015544041450778,55.94202898550724
Adelie,Torgersen,39.3,20.6,190.0,3650.0,Male,False,False,False,False,False,3.65,809.58,1.907766990291262,52.054794520547944
Adelie,Torgersen,38.9,17.8,181.0,3625.0,Female,False,False,False,False,False,3.625,692.42,2.185393258426966,49.93103448275862
Adelie,Torgersen,39.2,19.6,195.0,4675.0,Male,False,False,False,False,False,4.675,768.3200000000002,2.0,41.711229946524064
Adelie,Torgersen,34.1,18.1,193.0,3475.0,Unknown,False,False,False,False,False,3.475,617.21,1.8839779005524862,55.53956834532374
Adelie,Torgersen,42.0,20.2,190.0,4250.0,Unknown,False,False,False,False,False,4.25,848.4,2.0792079207920793,44.705882352941174
Adelie,Torgersen,37.8,17.1,186.0,3300.0,Unknown,False,False,False,False,False,3.3,646.38,2.2105263157894735,56.36363636363637
Adelie,Torgersen,37.8,17.3,180.0,3700.0,Unknown,False,False,False,False,False,3.7,653.9399999999999,2.184971098265896,48.648648648648646
Adelie,Torgersen,41.1,17.6,182.0,3200.0,Female,False,False,False,False,False,3.2,723.3600000000001,2.3352272727272725,56.875
Adelie,Torgersen,38.6,21.2,191.0,3800.0,Male,False,False,False,False,False,3.8,818.32,1.8207547169811322,50.26315789473684
Adelie,Torgersen,34.6,21.1,198.0,4400.0,Male,False,False,False,False,False,4.4,730.0600000000001,1.6398104265402844,44.99999999999999
Adelie,Torgersen,36.6,17.8,185.0,3700.0,Female,False,False,False,False,False,3.7,651.48,2.056179775280899,50.0
Adelie,Torgersen,38.7,19.0,195.0,3450.0,Female,False,False,False,False,False,3.45,735.3000000000001,2.0368421052631582,56.52173913043478
Adelie,Torgersen,42.5,20.7,197.0,4500.0,Male,False,False,False,False,False,4.5,879.75,2.0531400966183577,43.77777777777778
Adelie,Torgersen,34.4,18.4,184.0,3325.0,Female,False,False,False,False,False,3.325,632.9599999999999,1.8695652173913044,55.338345864661655
Adelie,Torgersen,46.0,21.5,194.0,4200.0,Male,False,False,False,False,False,4.2,989.0,2.13953488372093,46.19047619047619
Adelie,Biscoe,37.8,18.3,174.0,3400.0,Female,False,False,False,False,False,3.4,691.74,2.065573770491803,51.1764705882353
Adelie,Biscoe,37.7,18.7,180.0,3600.0,Male,False,False,False,False,False,3.6,704.99,2.016042780748663,50.0
