studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Culmen_Length_mm_outlier,Culmen_Depth_mm_outlier,Flipper_Length_mm_outlier,Body_Mass_g_outlier,is_any_outlier,body_mass_kg,bill_area_mm2,bill_ratio,flipper_mass_ratio
PAL0708,1,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N1A1,Yes,2007-11-11,39.1,18.7,181.0,3750.0,Male,,,Not enough blood for isotopes.,False,False,False,False,False,3.75,731.17,2.0909090909090913,48.266666666666666
PAL0708,2,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N1A2,Yes,2007-11-11,39.5,17.4,186.0,3800.0,Female,8.94956,-24.69454,,False,False,False,False,False,3.8,687.3,2.270114942528736,48.94736842105264
PAL0708,3,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N2A1,Yes,2007-11-16,40.3,18.0,195.0,3250.0,Female,8.36821,-25.33302,,False,False,False,False,False,3.25,725.4,2.238888888888889,60.0
PAL0708,4,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N2A2,Yes,2007-11-16,44.45,17.3,197.0,4050.0,Unknown,,,Adult not sampled.,False,False,False,False,False,4.05,768.9850000000001,2.569364161849711,48.641975308641975
PAL0708,5,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N3A1,Yes,2007-11-16,36.7,19.3,193.0,3450.0,Female,8.76651,-25.32426,,False,False,False,False,False,3.45,708.3100000000001,1.9015544041450778,55.94202898550724
PAL0708,6,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N3A2,Yes,2007-11-16,39.3,20.6,190.0,3650.0,Male,8.66496,-25.29805,,False,False,False,False,False,3.65,809.58,1.907766990291262,52.054794520547944
PAL0708,7,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N4A1,No,2007-11-15,38.9,17.8,181.0,3625.0,Female,9.18718,-25.21799,Nest never observed with full clutch.,False,False,False,False,False,3.625,692.42,2.185393258426966,49.93103448275862
PAL0708,8,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N4A2,No,2007-11-15,39.2,19.6,195.0,4675.0,Male,9.4606,-24.89958,Nest never observed with full clutch.,False,False,False,False,False,4.675,768.3200000000002,2.0,41.711229946524064
PAL0708,9,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N5A1,Yes,2007-11-09,34.1,18.1,193.0,3475.0,Unknown,,,No blood sample obtained.,False,False,False,False,False,3.475,617.21,1.8839779005524862,55.53956834532374
PAL0708,10,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N5A2,Yes,2007-11-09,42.0,20.2,190.0,4250.0,Unknown,9.13362,-25.09368,No blood sample obtained for sexing.,False,False,False,False,False,4.25,848.4,2.0792079207920793,44.705882352941174
